Instance cominisatPS-DL cominisatPS
sdiv15prop.cnf 406.132 440.976
TimetableCNFEncoding_8_UNKNOWN.cnf 5000.02 5000.01
TimetableCNFEncoding_10_UNKNOWN.cnf 5000.03 5000.01
20180321_140826713_p_cnf_320_1120.cnf 5000.01 2033.21
apn-sbox6-cut4-helpbox26.cnf 5000.01 5000.04
20180321_140824282_p_cnf_320_1120.cnf 5000.01 5000.01
cms-scheel-md4-families-r24-c5-p5-13-16-17-19.cnf 1385.66 980.146
Nb45T6.cnf 3835.93 4550.25
filter_iir_true-unreach-call.c.cnf 1024.15 771.28
satcoin-genesis-SAT-512.cnf 5000.01 5000.01
cms-scheel-md4-families-r24-c5-p1-5-10-12-18.cnf 349.947 681.104
ex095_8.cnf 5000.03 5000.01
by-alt-5-7.cnf 5000.03 5000.01
Problem14_label55_true-unreach-call.c.cnf 22.5956 23.5243
factoring94418953x321534781.cnf 5000.01 5000.02
a_rphp098_04.cnf 5000.04 5000.15
TimetableCNFEncoding_6_UNKNOWN.cnf 5000.02 5000.01
apn-sbox6-cut5-helpbox26.cnf 5000.02 5000.03
T122.2.0.cnf 1302.99 1101.84
sted1_0x24204-380.cnf 5000.01 5000.14
8-4-8.cnf 5000.01 5000.01
CNP-5-0.cnf 170.222 2048.4
ae_rphp056_05.cnf 5000.01 5000.02
sdiv16prop.cnf 1174.87 1381.22
1mod8.rules.7-7.cnf 5000.01 5000.01
cms-scheel-md5-families-r24-c8-p0-3-5-6-14-16-18-19.cnf 447.536 904.099
e_rphp035_05.cnf 1422.48 1266.24
apn-sbox6-cut3-helpbox23.cnf 5000.02 5000.01
T93.2.0.cnf 691.366 904.85
TimetableCNFEncoding_5_UNKNOWN.cnf 5000.02 5000.01
T56.2.0.cnf 496.744 384.714
ecarev-110-1031-23-40-2.cnf 259.048 257.76
queen12_12.col.12.cnf 331.096 358.124
T86.2.0.cnf 968.708 993.141
gto_p50c345.cnf 5000.01 5000.01
cms-scheel-md4-families-r24-c4-p6-13-17-19.cnf 129.241 467.775
satcoin-genesis-SAT-8.cnf 5000.03 5000.02
apn-sbox6-cut5-helpbox28.cnf 5000.03 5000.01
le450_25b.col.25.cnf 5000.01 5000.02
ae_rphp075_04.cnf 1798.14 1891.04
pals_lcr-var-start-time.5_true-unreach-call.ufo.UNBOUNDED.pals.c.cnf 365.083 322.391
cms-scheel-md5-families-r24-c7-p1-5-6-12-16-18-19.cnf 904.569 2441.01
ex177_13.cnf 5000.05 5000.01
mchess_16.cnf 801.092 708.104
gto_p60c231.cnf 116.281 111.534
T117.2.0.cnf 529.556 537.137
gto_p60c235.cnf 648.492 652.666
ex175_20.cnf 1445.12 336.835
apn-sbox6-cut5-helpbox30.cnf 2467.56 347.957
dist8.c.cnf 402.595 313.361
satcoin-genesis-SAT-5.cnf 5000.52 5000.01
bx-d-4-7-6.cnf 5000.01 5000.17
dist10.c.cnf 361.955 431.081
Nb8T62.cnf 5000.03 5000.01
course_flat_0.16_2018_3.cnf 5000.02 5000.01
gto_p60c295.cnf 5000.01 5000.01
gto_p50c314.cnf 5000.02 5000.01
a_rphp085_04.cnf 5000.02 5000.01
T107.2.0.cnf 790.187 859.124
