Instance MapleLCMDistChrBT MapleLCMDistChrBt-DL-v1 MapleLCMDistChrBt-DL-v2
g2-ak128modbtbg2msisc.cnf 4114.44 5000.02 3130.32
mp1-Nb5T06.cnf 68.1191 69.752 67.8136
g2-hwmcc15deep-6s340rb63-k16.cnf 164.851 305.587 302.349
mp1-squ_any_s09x07_c27_sinz_UNS.cnf 374.738 269.741 269.234
g2-ak128modbtbg1asaig.cnf 70.6447 81.2306 78.5008
mp1-21.4.cnf 56.5567 29.266 30.7747
mp1-rubikcube912.cnf 2065.21 1854.76 1895.47
mp1-ps_5000_21250_3_0_0.7_0_1.45_0.cnf 5000.02 5000.01 5000.22
mp1-blockpuzzle_9x9_s1_free9.cnf 2740.74 3246.11 3219.83
mp1-23.0.cnf 5000.02 5000.02 5000.01
g2-T1.2.1.cnf 1939.64 2073.99 1987.89
mp1-ps_5000_21250_3_0_0.8_0_1.70_0.cnf 5000.01 5000.01 5000.01
g2-slp-synthesis-aes-top28.cnf 5000.03 628.672 630.227
mp1-tri_ali_s11_c35_abio_UNS.cnf 85.1053 79.0363 81.139
mp1-squ_ali_s10x10_c39_sinz_SAT.cnf 197.327 74.908 75.0858
mp1-ps_5000_21250_3_0_0.8_0_1.55_8.cnf 5000.02 5000.01 5000.02
g2-test_v7_r7_vr5_c1_s14675.smt2-cvc4.cnf 43.0164 78.9307 82.6764
mp1-blockpuzzle_9x9_s1_free7.cnf 2631.04 2363.6 4119.6
mp1-Nb5T16.cnf 105.094 43.8011 44.9159
mp1-Nb7T43.cnf 5000.01 5000.01 5000.11
mp1-ps_5000_21250_3_0_0.6_0_1.50_2.cnf 5000.02 5000.01 5000.01
g2-hwmcc15deep-oski15a10b08s-k23.cnf 5000.02 5000.01 5001.65
mp1-blockpuzzle_9x9_s8_free3.cnf 257.173 323.056 282.447
mp1-tri_ali_s11_c35_abix_UNS.cnf 97.2655 74.6016 74.2238
g2-gss-28-s100.cnf 5000.02 5000.02 5000.02
g2-UTI-20-10p1.cnf 574.733 857.653 780.84
g2-slp-synthesis-aes-top29.cnf 425.226 455.091 482.731
mp1-Nb7T07.cnf 5000.02 5000.02 5000.01
g2-slp-synthesis-aes-top24.cnf 5000.01 5000.01 5000.01
g2-T89.2.1.cnf 371.421 391.784 398.662
mp1-squ_ali_s10x10_c39_abix_SAT.cnf 2612.58 453.916 460.626
g2-ak128simpbbg2asaig.cnf 5000.1 5000.01 5000.01
mp1-ps_5000_21250_3_0_0.6_0_1.50_8.cnf 5000.01 5000.01 5000
g2-hwmcc15deep-oski15a10b10s-k22.cnf 5000.01 5000.25 5000.02
mp1-24.1.cnf 5000.01 5000.01 5000.01
mp1-ps_5000_21250_3_0_0.6_0_1.50_4.cnf 5000.01 5000.01 5000.01
g2-T105.2.1.cnf 3452.56 2976.03 3176.5
mp1-9_21.cnf 5000.01 5000.01 5000.01
g2-gss-30-s100.cnf 5000.01 5000.02 5000.02
mp1-bsat192-689.cnf 102.331 76.2795 76.3163
